PARTICIPANT INDIVIDUAL NR;GROUP;PARTICIPANT (group_number/sound_order);ORDER;Sex;PL_1;PL_2;PL_3;PL_4;PL_5;PL_6;PL_7;PL_8;PL_9;PL_10;PL_11;PL_12;PL_13;PL_14;PL_15;PL_16;PL_17;PL_18;PL_19;PL_20;PL_21;PL_22;PL_23;PL_24;PL_25;PL_26;PL_27;PL_28;PL_29;PL_30;PL_31;PL_32;PL_33;PL_34;PL_35;PL_36;PL_37;PL_38;PL_39;PL_40;PL_41;PL_42;PL_43;PL_44;PL_45;PL_46;PL_47;PL_48;PL_49;PL_50;PL_51;PL_52;PL_53;PL_54
1;G1;1_1;1;F;3;1;1;3;4;5;3;4;3;5;3;4;3;2;4;1;4;5;4;5;5;5;5;5;5;5;6;4;5;6;5;5;5;5;5;5;7;7;6;6;7;7;8;7;6;7;5;6;6;5;6;8;6;6
2;G1;1_2;2;F;1;1;1;1;1;1;4;6;5;4;4;3;7;9;9;9;7;7;2;1;1;1;2;1;6;6;7;5;4;7;7;9;7;6;7;8;1;1;1;3;2;1;5;5;5;5;5;6;9;7;7;6;5;6
3;G1;1_3;3;F;1;1;5;7;7;7;1;3;6;4;7;7;1;1;6;6;7;7;3;2;6;5;7;7;1;1;3;5;5;7;3;1;5;5;5;5;1;1;5;6;7;7;1;1;5;5;8;7;2;2;5;5;6;7
4;G1;1_4;4;M;7;7;7;5;3;5;5;7;5;9;7;6;4;4;2;5;3;5;2;7;1;5;3;5;5;7;2;5;3;2;5;4;2;5;4;8;5;7;2;6;1;4;4;6;2;4;3;5;3;4;2;7;3;5
5;G2;2_1;1;M;3;1;2;1;1;2;3;3;3;3;3;3;3;2;3;4;3;1;4;5;4;5;4;5;4;5;4;3;5;4;4;4;5;4;5;5;7;9;7;6;7;5;9;6;6;8;6;5;6;5;6;9;9;7
6;G2;2_2;2;F;5;3;1;1;3;5;7;7;5;6;5;7;7;7;6;6;8;8;3;5;2;4;4;3;8;5;7;3;6;7;8;7;6;7;7;9;3;2;3;3;2;3;5;5;7;6;7;5;7;7;7;7;6;9
7;G2;2_3;3;M;1;3;5;4;5;8;1;1;3;5;9;9;2;2;5;5;9;6;1;1;4;5;8;9;1;1;4;4;8;6;1;1;5;4;7;8;1;2;5;6;7;9;1;2;5;5;7;8;2;2;4;4;8;8
8;G2;2_4;4;F;4;4;1;5;2;7;6;8;3;9;1;4;3;6;1;8;9;6;6;5;2;7;2;5;5;6;1;6;1;5;5;6;3;5;1;6;8;4;1;9;8;5;4;4;3;5;1;7;3;4;2;6;2;5
9;G3;3_1;1;M;6;3;3;2;1;3;3;3;2;5;3;1;4;3;2;5;3;6;5;7;5;5;6;8;7;8;5;3;7;6;5;5;4;6;5;5;9;9;9;9;9;9;8;7;9;7;9;8;8;8;8;7;7;5
10;G3;3_2;2;M;2;2;1;1;3;3;6;5;5;6;5;5;6;7;5;5;6;5;4;3;2;4;2;2;5;4;4;6;5;4;5;8;5;6;6;6;2;4;3;4;3;3;6;4;5;5;6;4;7;6;5;6;6;5
